epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.95,1.3891,1.44008,1.42806,0.91676,0.84,0.90878,0.57437,1.23907,0.83854,1.33117,0.00333285,0.00333285,0.0700044
2,1001.17,1.41412,1.23129,1.43799,0.91123,0.83447,0.90707,0.5688,1.25873,0.80668,1.35325,0.00660018,0.00660018,0.0399384
3,1493.81,1.47752,1.3064,1.50075,0.91533,0.831,0.90575,0.56956,1.24575,0.78732,1.36529,0.00980152,0.00980152,0.0098064
4,1986.28,1.46529,1.26421,1.49938,0.92312,0.84954,0.91953,0.59312,1.20406,0.71828,1.33964,0.009703,0.009703,0.009703
5,2479.38,1.39715,1.15576,1.45753,0.93282,0.87072,0.93349,0.61963,1.16292,0.65655,1.29852,0.009604,0.009604,0.009604
6,2973.3,1.36031,1.09478,1.42688,0.93579,0.88348,0.93903,0.62974,1.14322,0.6205,1.28218,0.009505,0.009505,0.009505
7,3467.74,1.33724,1.05746,1.40781,0.94235,0.88745,0.94403,0.6374,1.12249,0.59754,1.26255,0.009406,0.009406,0.009406
8,3962.07,1.31994,1.0343,1.39704,0.94185,0.89559,0.94809,0.64506,1.11385,0.58302,1.25499,0.009307,0.009307,0.009307
9,4456.81,1.30327,1.00258,1.38431,0.94417,0.90159,0.95093,0.64883,1.10662,0.56852,1.24968,0.009208,0.009208,0.009208
10,4951.96,1.29044,0.98733,1.37529,0.95018,0.89973,0.9524,0.65278,1.10094,0.56128,1.24545,0.009109,0.009109,0.009109
11,5447.54,1.28523,0.97451,1.36872,0.9495,0.90391,0.95345,0.65453,1.09598,0.55422,1.24144,0.00901,0.00901,0.00901
12,5937.07,1.27448,0.96339,1.36425,0.95089,0.90507,0.9545,0.65668,1.09197,0.55096,1.2376,0.008911,0.008911,0.008911
13,6422.2,1.26919,0.95242,1.35845,0.95406,0.90744,0.95576,0.65858,1.08872,0.54764,1.23334,0.008812,0.008812,0.008812
14,6906.57,1.26612,0.94342,1.34967,0.95478,0.90808,0.95634,0.66013,1.08495,0.54417,1.22992,0.008713,0.008713,0.008713
15,7390.54,1.25903,0.93355,1.34731,0.95397,0.90912,0.95689,0.66185,1.08205,0.54069,1.22696,0.008614,0.008614,0.008614
16,7874.22,1.25147,0.92812,1.33928,0.95401,0.91137,0.95786,0.66301,1.07923,0.53804,1.22408,0.008515,0.008515,0.008515
17,8357.18,1.24995,0.91702,1.33977,0.95633,0.91132,0.95824,0.6642,1.07661,0.53532,1.22189,0.008416,0.008416,0.008416
18,8840.29,1.24495,0.913,1.33445,0.95487,0.91231,0.95827,0.66546,1.07478,0.53253,1.2194,0.008317,0.008317,0.008317
19,9323.76,1.24168,0.90792,1.32905,0.95496,0.91445,0.95884,0.66611,1.07226,0.52934,1.21687,0.008218,0.008218,0.008218
20,9807.16,1.23507,0.90567,1.3252,0.95422,0.9148,0.95919,0.66751,1.06952,0.52729,1.21401,0.008119,0.008119,0.008119
21,10290.5,1.23161,0.89497,1.32545,0.95527,0.9159,0.95984,0.66852,1.06732,0.52503,1.21186,0.00802,0.00802,0.00802
22,10773.1,1.22712,0.89046,1.31768,0.95544,0.91713,0.95997,0.67027,1.06484,0.52242,1.20942,0.007921,0.007921,0.007921
23,11256.2,1.22721,0.88596,1.31941,0.95689,0.91845,0.96057,0.67179,1.0619,0.52005,1.20645,0.007822,0.007822,0.007822
24,11739,1.21936,0.88578,1.31864,0.95695,0.91989,0.96135,0.67299,1.05906,0.51694,1.20381,0.007723,0.007723,0.007723
25,12222.1,1.22127,0.87835,1.31553,0.95707,0.92048,0.96222,0.67413,1.05703,0.51406,1.20151,0.007624,0.007624,0.007624
26,12704.7,1.21892,0.87818,1.31515,0.95633,0.92142,0.96213,0.67487,1.05526,0.51153,1.1998,0.007525,0.007525,0.007525
27,13187.6,1.21468,0.87103,1.31193,0.95686,0.92299,0.96258,0.67549,1.05314,0.50869,1.19782,0.007426,0.007426,0.007426
28,13670.8,1.21095,0.86972,1.31052,0.95623,0.92422,0.96293,0.67631,1.05123,0.50602,1.19562,0.007327,0.007327,0.007327
29,14153.8,1.20857,0.86703,1.3094,0.95584,0.92586,0.96364,0.677,1.04917,0.50448,1.19377,0.007228,0.007228,0.007228
30,14636.8,1.20943,0.86478,1.30616,0.9561,0.92649,0.96414,0.6781,1.04773,0.50199,1.19208,0.007129,0.007129,0.007129
31,15120,1.20407,0.85797,1.30057,0.95489,0.92721,0.96434,0.67878,1.04584,0.49952,1.19022,0.00703,0.00703,0.00703
32,15602.9,1.20242,0.85611,1.30192,0.95629,0.92697,0.9649,0.67972,1.04458,0.4971,1.18857,0.006931,0.006931,0.006931
33,16086.2,1.19921,0.85418,1.30096,0.95647,0.92848,0.96534,0.68042,1.04306,0.49441,1.18687,0.006832,0.006832,0.006832
34,16569.1,1.19792,0.84562,1.29662,0.95767,0.92732,0.96547,0.68142,1.04143,0.49209,1.18507,0.006733,0.006733,0.006733
35,17052.2,1.19348,0.84487,1.29728,0.95768,0.92851,0.96589,0.68182,1.03956,0.48993,1.18339,0.006634,0.006634,0.006634
36,17535.2,1.19184,0.84163,1.2936,0.95829,0.92939,0.96619,0.68285,1.038,0.48801,1.18178,0.006535,0.006535,0.006535
37,18018,1.18892,0.83833,1.29263,0.95944,0.92964,0.96663,0.68348,1.03633,0.48605,1.1801,0.006436,0.006436,0.006436
